Source,Target,Type,Id,Label,Weight
S1,UK01,Undirected,0,,1
S1,UK02,Undirected,1,,1
S1,UK03,Undirected,2,,1
S1,UK04,Undirected,3,,1
S1,UK05,Undirected,4,,1
S1,UK06,Undirected,5,,1
S1,UK07,Undirected,6,,1
S1,UK08,Undirected,7,,1
S1,UK09,Undirected,8,,1
S1,UK10,Undirected,9,,1
S1,OPK1,Undirected,10,,1
S1,OPK2,Undirected,11,,1
S1,OPK3,Undirected,12,,1
S1,OPK4,Undirected,13,,1
S1,OPK5,Undirected,14,,1
S1,OPK6,Undirected,15,,1
S1,PK0501,Undirected,16,,1
S1,PK0502,Undirected,17,,1
S1,PK0503,Undirected,18,,1
S1,PK0504,Undirected,19,,1
S1,PK0505,Undirected,20,,1
S1,PK0506,Undirected,21,,1
S1,PK0507,Undirected,22,,1
S1,PK0508,Undirected,23,,1
S1,PK0509,Undirected,24,,1
S1,PK0510,Undirected,25,,1
S1,PK0511,Undirected,26,,1
S1,PK0512,Undirected,27,,1
S1,PK0513,Undirected,28,,1
S1,PK0514,Undirected,29,,1
S1,PK0515,Undirected,30,,1
S1,PK0516,Undirected,31,,1
S1,PK0517,Undirected,32,,1
S1,PK0518,Undirected,33,,1
S1,PK0535,Undirected,34,,1
S1,PK0536,Undirected,35,,1
S1,PK0537,Undirected,36,,1
S1,PK0538,Undirected,37,,1
S1,PK0539,Undirected,38,,1
S1,PK0540,Undirected,39,,1
S1,PK0541,Undirected,40,,1
S1,PK0542,Undirected,41,,1
S1,PK0543,Undirected,42,,1
S1,PK0544,Undirected,43,,1
S1,PK0545,Undirected,44,,1
S1,PK0546,Undirected,45,,1
S1,PK0547,Undirected,46,,1
S1,PK0548,Undirected,47,,1
S1,PK0549,Undirected,48,,1
S1,PK0550,Undirected,49,,1
S1,PK0551,Undirected,50,,1
S1,PK0552,Undirected,51,,1
S1,PK0572,Undirected,52,,1
S1,PK0573,Undirected,53,,1
S1,PK0574,Undirected,54,,1
S1,PK0575,Undirected,55,,1
S1,PK0576,Undirected,56,,1
S1,PK0577,Undirected,57,,1
S1,PK0578,Undirected,58,,1
S1,PK0579,Undirected,59,,1
S1,PK0580,Undirected,60,,1
S1,PK0581,Undirected,61,,1
S1,PK0582,Undirected,62,,1
S1,PK0563,Undirected,63,,1
S1,PK0564,Undirected,64,,1
S1,PK0565,Undirected,65,,1
S1,PK0566,Undirected,66,,1
D0501,PK0502,Undirected,67,,1
D0501,PK0505,Undirected,68,,1
D0501,PK0515,Undirected,69,,1
D0501,PK0516,Undirected,70,,1
D0502,PK0513,Undirected,71,,1
D0503,PK0502,Undirected,72,,1
D0503,PK0503,Undirected,73,,1
D0503,PK0537,Undirected,74,,1
D0503,PK0538,Undirected,75,,1
D0503,PK0574,Undirected,76,,1
D0503,PK0579,Undirected,77,,1
D0503,PK0580,Undirected,78,,1
D0503,PK0581,Undirected,79,,1
D0503,PK0582,Undirected,80,,1
D0504,PK0507,Undirected,81,,1
D0505,PK0545,Undirected,82,,1
D0505,PK0578,Undirected,83,,1
D0506,PK0544,Undirected,84,,1
D0506,PK0546,Undirected,85,,1
D0506,PK0547,Undirected,86,,1
D0507,PK0507,Undirected,87,,1
D0508,PK0507,Undirected,88,,1
D0509,PK0573,Undirected,89,,1
D0510,PK0573,Undirected,90,,1
D0511,PK0511,Undirected,91,,1
D0511,PK0545,Undirected,92,,1
D0511,PK0578,Undirected,93,,1
D0512,PK0510,Undirected,94,,1
D0512,PK0511,Undirected,95,,1
D0512,PK0578,Undirected,96,,1
D0513,PK0508,Undirected,97,,1
D0513,PK0577,Undirected,98,,1
D0514,PK0575,Undirected,99,,1
D0514,PK0577,Undirected,100,,1
D0515,PK0552,Undirected,101,,1
D0516,PK0552,Undirected,102,,1
D0517,PK0511,Undirected,103,,1
D0517,PK0545,Undirected,104,,1
D0518,PK0545,Undirected,105,,1
D0518,PK0581,Undirected,106,,1
D0519,UK07,Undirected,107,,1
D0520,UK07,Undirected,108,,1
D0521,UK07,Undirected,109,,1
D0522,UK07,Undirected,110,,1
D0523,UK05,Undirected,111,,1
D0524,UK01,Undirected,112,,1
D0524,UK05,Undirected,113,,1
D0525,UK08,Undirected,114,,1
D0526,UK04,Undirected,115,,1
D0527,UK07,Undirected,116,,1
D0528,UK02,Undirected,117,,1
D0528,UK03,Undirected,118,,1
D0528,UK06,Undirected,119,,1
D0529,UK09,Undirected,120,,1
D0530,UK05,Undirected,121,,1
D0531,UK04,Undirected,122,,1
D0532,UK10,Undirected,123,,1
D0533,UK05,Undirected,124,,1
D0534,UK03,Undirected,125,,1
D0535,OPK2,Undirected,126,,1
D0536,OPK5,Undirected,127,,1
D0537,OPK2,Undirected,128,,1
D0537,OPK3,Undirected,129,,1
D0538,OPK2,Undirected,130,,1
D0538,OPK3,Undirected,131,,1
D0539,OPK1,Undirected,132,,1
D0540,OPK4,Undirected,133,,1
D0541,OPK2,Undirected,134,,1
D0542,OPK2,Undirected,135,,1
D0543,OPK2,Undirected,136,,1
D0544,OPK3,Undirected,137,,1
D0544,PK0574,Undirected,138,,1
D0545,OPK2,Undirected,139,,1
D0545,PK0513,Undirected,140,,1
D0546,OPK3,Undirected,141,,1
D0546,PK0565,Undirected,142,,1
D0547,PK0514,Undirected,143,,1
D0547,PK0573,Undirected,144,,1
D0547,PK0574,Undirected,145,,1
D0547,PK0575,Undirected,146,,1
D0547,PK0577,Undirected,147,,1
D0548,OPK2,Undirected,148,,1
D0548,PK0565,Undirected,149,,1
D0548,PK0566,Undirected,150,,1
D0549,OPK2,Undirected,151,,1
D0549,OPK3,Undirected,152,,1
D0550,OPK4,Undirected,153,,1
D0550,PK0537,Undirected,154,,1
D0550,UK03,Undirected,155,,1
D0551,OPK5,Undirected,156,,1
D0551,PK0505,Undirected,157,,1
D0552,OPK2,Undirected,158,,1
D0553,OPK6,Undirected,159,,1
D0553,PK0563,Undirected,160,,1
D0554,PK0535,Undirected,161,,1
D0554,PK0545,Undirected,162,,1
D0554,PK0564,Undirected,163,,1
D0555,PK0503,Undirected,164,,1
D0555,PK0508,Undirected,165,,1
D0555,PK0509,Undirected,166,,1
D0555,PK0510,Undirected,167,,1
D0555,PK0535,Undirected,168,,1
D0556,OPK3,Undirected,169,,1
D0556,PK0501,Undirected,170,,1
D0556,PK0512,Undirected,171,,1
D0557,PK0501,Undirected,172,,1
D0557,PK0502,Undirected,173,,1
D0557,PK0504,Undirected,174,,1
D0557,PK0505,Undirected,175,,1
D0557,PK0506,Undirected,176,,1
D0557,PK0512,Undirected,177,,1
D0558,PK0501,Undirected,178,,1
D0558,PK0505,Undirected,179,,1
D0558,PK0506,Undirected,180,,1
D0559,PK0514,Undirected,181,,1
D0559,PK0572,Undirected,182,,1
D0559,PK0573,Undirected,183,,1
D0559,PK0576,Undirected,184,,1
D0560,PK0501,Undirected,185,,1
D0560,PK0518,Undirected,186,,1
D0561,PK0502,Undirected,187,,1
D0561,PK0504,Undirected,188,,1
D0561,PK0505,Undirected,189,,1
D0561,AII1,Undirected,190,,1
D0562,PK0510,Undirected,191,,1
D0562,PK0517,Undirected,192,,1
D0562,PK0536,Undirected,193,,1
D0562,PK0538,Undirected,194,,1
D0562,PK0539,Undirected,195,,1
D0562,PK0540,Undirected,196,,1
D0562,PK0541,Undirected,197,,1
D0562,PK0542,Undirected,198,,1
D0562,PK0543,Undirected,199,,1
D0562,PK0548,Undirected,200,,1
D0562,PK0549,Undirected,201,,1
D0562,PK0550,Undirected,202,,1
D0562,PK0551,Undirected,203,,1
D0562,PK0552,Undirected,204,,1
D0563,PK0501,Undirected,205,,1
D0563,PK0502,Undirected,206,,1
D0563,PK0504,Undirected,207,,1
D0563,PK0515,Undirected,208,,1
D0563,PK0516,Undirected,209,,1
D0563,PK0517,Undirected,210,,1
D0564,PK0517,Undirected,211,,1
D0564,PK0544,Undirected,212,,1
D0564,PK0546,Undirected,213,,1
D0564,PK0547,Undirected,214,,1
D0565,OPK6,Undirected,215,,1
D0566,PK0507,Undirected,216,,1
PK0501,AII1,Undirected,217,,1
PK0501,AII2,Undirected,218,,1
PK0502,AII1,Undirected,219,,1
PK0502,AII2,Undirected,220,,1
PK0503,AII1,Undirected,221,,1
PK0503,AVIII2,Undirected,222,,1
PK0504,AII1,Undirected,223,,1
PK0504,AII2,Undirected,224,,1
PK0505,AII1,Undirected,225,,1
PK0505,AII2,Undirected,226,,1
PK0506,AII1,Undirected,227,,1
PK0506,AII2,Undirected,228,,1
PK0507,AII1,Undirected,229,,1
PK0507,AII2,Undirected,230,,1
PK0508,AII1,Undirected,231,,1
PK0509,AII1,Undirected,232,,1
PK0509,AII2,Undirected,233,,1
PK0510,AII1,Undirected,234,,1
PK0510,AII2,Undirected,235,,1
PK0511,AII1,Undirected,236,,1
PK0511,AII2,Undirected,237,,1
PK0511,AVI14,Undirected,238,,1
PK0512,AII1,Undirected,239,,1
PK0512,AII2,Undirected,240,,1
PK0513,AIII1,Undirected,241,,1
PK0514,AII1,Undirected,242,,1
PK0514,AII2,Undirected,243,,1
PK0515,AII1,Undirected,244,,1
PK0515,AII2,Undirected,245,,1
PK0516,AII1,Undirected,246,,1
PK0516,AII2,Undirected,247,,1
PK0517,AII1,Undirected,248,,1
PK0517,AII2,Undirected,249,,1
PK0517,AVI2,Undirected,250,,1
PK0518,AII1,Undirected,251,,1
PK0518,AII2,Undirected,252,,1
PK0535,AVI2,Undirected,253,,1
PK0536,AVI2,Undirected,254,,1
PK0537,AII1,Undirected,255,,1
PK0537,AII2,Undirected,256,,1
PK0538,AII1,Undirected,257,,1
PK0538,AII2,Undirected,258,,1
PK0538,AVI1,Undirected,259,,1
PK0539,AII1,Undirected,260,,1
PK0539,AII2,Undirected,261,,1
PK0539,AVI14,Undirected,262,,1
PK0540,AVI3,Undirected,263,,1
PK0541,AVI2,Undirected,264,,1
PK0542,AVI4,Undirected,265,,1
PK0543,AVI4,Undirected,266,,1
PK0544,AIV2,Undirected,267,,1
PK0545,AII1,Undirected,268,,1
PK0545,AII2,Undirected,269,,1
PK0545,AVI1,Undirected,270,,1
PK0546,AVI1,Undirected,271,,1
PK0547,AIV2,Undirected,272,,1
PK0548,AVI6,Undirected,273,,1
PK0549,AVI6,Undirected,274,,1
PK0550,AVI6,Undirected,275,,1
PK0551,AVI6,Undirected,276,,1
PK0552,AVI6,Undirected,277,,1
PK0563,AII1,Undirected,278,,1
PK0563,AII2,Undirected,279,,1
PK0564,AII1,Undirected,280,,1
PK0564,AII2,Undirected,281,,1
PK0564,AVI1,Undirected,282,,1
PK0565,AII1,Undirected,283,,1
PK0565,AII2,Undirected,284,,1
PK0566,AII1,Undirected,285,,1
PK0566,AII2,Undirected,286,,1
PK0572,AII1,Undirected,287,,1
PK0572,AII2,Undirected,288,,1
PK0573,AII1,Undirected,289,,1
PK0573,AII2,Undirected,290,,1
PK0574,AII1,Undirected,291,,1
PK0574,AII2,Undirected,292,,1
PK0575,AII1,Undirected,293,,1
PK0575,AII2,Undirected,294,,1
PK0576,AII1,Undirected,295,,1
PK0576,AII2,Undirected,296,,1
PK0576,AV1,Undirected,297,,1
PK0577,AII1,Undirected,298,,1
PK0577,AII2,Undirected,299,,1
PK0578,AII1,Undirected,300,,1
PK0578,AII2,Undirected,301,,1
PK0579,AII1,Undirected,302,,1
PK0579,AII2,Undirected,303,,1
PK0580,AII1,Undirected,304,,1
PK0580,AII2,Undirected,305,,1
PK0581,AII1,Undirected,306,,1
PK0581,AII2,Undirected,307,,1
PK0582,AII1,Undirected,308,,1
PK0582,AII2,Undirected,309,,1
S2,UK01,Undirected,310,,1
S2,UK02,Undirected,311,,1
S2,UK03,Undirected,312,,1
S2,UK04,Undirected,313,,1
S2,UK05,Undirected,314,,1
S2,UK06,Undirected,315,,1
S2,UK07,Undirected,316,,1
S2,UK08,Undirected,317,,1
S2,UK09,Undirected,318,,1
S2,UK10,Undirected,319,,1
S2,OPK1,Undirected,320,,1
S2,OPK2,Undirected,321,,1
S2,OPK3,Undirected,322,,1
S2,OPK4,Undirected,323,,1
S2,OPK5,Undirected,324,,1
S2,OPK6,Undirected,325,,1
S2,PK0601,Undirected,326,,1
S2,PK0602,Undirected,327,,1
S2,PK0603,Undirected,328,,1
S2,PK0604,Undirected,329,,1
S2,PK0605,Undirected,330,,1
S2,PK0606,Undirected,331,,1
S2,PK0607,Undirected,332,,1
S2,PK0608,Undirected,333,,1
S2,PK0609,Undirected,334,,1
S2,PK0610,Undirected,335,,1
D0601,PK0601,Undirected,336,,1
D0601,PK0602,Undirected,337,,1
D0602,PK0602,Undirected,338,,1
D0602,PK0606,Undirected,339,,1
D0603,PK0606,Undirected,340,,1
D0603,PK0608,Undirected,341,,1
D0604,PK0601,Undirected,342,,1
D0605,PK0607,Undirected,350,,1
D0606,PK0607,Undirected,351,,1
D0607,PK0601,Undirected,352,,1
D0607,PK0606,Undirected,353,,1
D0608,PK0602,Undirected,354,,1
D0608,PK0603,Undirected,355,,1
D0608,PK0606,Undirected,356,,1
D0609,PK0602,Undirected,357,,1
D0609,PK0603,Undirected,358,,1
D0609,PK0606,Undirected,359,,1
D0610,PK0602,Undirected,360,,1
D0610,AIII1,Undirected,361,,1
D0611,UK03,Undirected,362,,1
D0612,PK0602,Undirected,363,,1
D0612,PK0606,Undirected,364,,1
D0613,PK0607,Undirected,365,,1
D0614,PK0610,Undirected,366,,1
D0615,UK05,Undirected,367,,1
D0616,UK05,Undirected,368,,1
D0617,PK0608,Undirected,369,,1
D0618,PK0606,Undirected,370,,1
D0618,PK0610,Undirected,371,,1
D0619,PK0602,Undirected,372,,1
D0620,PK0606,Undirected,373,,1
D0621,PK0601,Undirected,374,,1
D0621,PK0602,Undirected,375,,1
D0622,PK0606,Undirected,376,,1
D0623,PK0604,Undirected,377,,1
D0623,PK0605,Undirected,378,,1
D0623,PK0608,Undirected,379,,1
D0623,PK0609,Undirected,380,,1
D0624,PK0604,Undirected,381,,1
D0624,PK0605,Undirected,382,,1
D0624,PK0608,Undirected,383,,1
D0625,PK0610,Undirected,384,,1
D0626,PK0610,Undirected,385,,1
D0627,UK03,Undirected,386,,1
D0627,PK0610,Undirected,387,,1
D0628,PK0601,Undirected,388,,1
D0628,PK0610,Undirected,389,,1
D0629,PK0607,Undirected,390,,1
D0630,PK0607,Undirected,391,,1
D0633,UK05,Undirected,398,,1
D0634,UK01,Undirected,399,,1
D0634,UK05,Undirected,400,,1
D0635,UK08,Undirected,401,,1
D0636,UK04,Undirected,402,,1
D0637,UK07,Undirected,403,,1
D0638,UK02,Undirected,404,,1
D0638,UK03,Undirected,405,,1
D0638,UK06,Undirected,406,,1
D0639,UK09,Undirected,407,,1
D0640,UK05,Undirected,408,,1
D0641,UK04,Undirected,409,,1
D0642,UK10,Undirected,410,,1
D0643,OPK2,Undirected,411,,1
D0643,OPK3,Undirected,412,,1
D0644,OPK5,Undirected,413,,1
D0645,OPK2,Undirected,414,,1
D0645,OPK3,Undirected,415,,1
D0646,OPK2,Undirected,416,,1
D0647,OPK2,Undirected,417,,1
D0647,OPK3,Undirected,418,,1
D0648,OPK2,Undirected,419,,1
D0649,OPK2,Undirected,420,,1
D0649,OPK3,Undirected,421,,1
D0650,OPK1,Undirected,422,,1
D0651,OPK2,Undirected,423,,1
D0651,OPK3,Undirected,424,,1
D0652,OPK2,Undirected,425,,1
D0652,OPK3,Undirected,426,,1
D0653,OPK2,Undirected,427,,1
D0653,OPK3,Undirected,428,,1
D0654,OPK3,Undirected,430,,1
D0655,OPK2,Undirected,431,,1
D0655,OPK3,Undirected,432,,1
D0656,OPK2,Undirected,433,,1
D0656,OPK3,Undirected,434,,1
D0657,OPK2,Undirected,435,,1
D0657,OPK3,Undirected,436,,1
D0657,PK0604,Undirected,437,,1
D0658,OPK2,Undirected,438,,1
D0658,OPK3,Undirected,439,,1
D0658,PK0604,Undirected,440,,1
D0659,PK0606,Undirected,441,,1
D0659,PK0610,Undirected,442,,1
D0660,PK0601,Undirected,443,,1
D0660,PK0602,Undirected,444,,1
D0660,PK0606,Undirected,445,,1
D0661,OPK4,Undirected,446,,1
D0661,PK0601,Undirected,447,,1
D0661,PK0606,Undirected,448,,1
D0662,PK0602,Undirected,449,,1
D0662,PK0603,Undirected,450,,1
D0662,PK0606,Undirected,451,,1
D0663,PK0602,Undirected,452,,1
D0663,PK0603,Undirected,453,,1
D0663,PK0606,Undirected,454,,1
D0664,PK0604,Undirected,455,,1
D0664,PK0608,Undirected,456,,1
D0664,PK0609,Undirected,457,,1
D0665,PK0602,Undirected,458,,1
D0665,PK0603,Undirected,459,,1
D0666,PK0602,Undirected,460,,1
D0666,PK0604,Undirected,461,,1
D0666,PK0606,Undirected,462,,1
D0666,PK0609,Undirected,463,,1
D0667,PK0607,Undirected,464,,1
D0668,PK0607,Undirected,465,,1
D0669,PK0608,Undirected,466,,1
D0670,PK0601,Undirected,467,,1
D0671,PK0607,Undirected,468,,1
D0672,PK0602,Undirected,469,,1
D0672,PK0603,Undirected,470,,1
PK0601,AIII1,Undirected,471,,1
PK0601,AIII2,Undirected,472,,1
PK0602,AIII1,Undirected,473,,1
PK0602,AIII2,Undirected,474,,1
PK0603,AIII1,Undirected,475,,1
PK0603,AIII2,Undirected,476,,1
PK0604,AIII1,Undirected,477,,1
PK0604,AIII2,Undirected,478,,1
PK0605,AIII1,Undirected,479,,1
PK0605,AIII2,Undirected,480,,1
PK0606,AIII1,Undirected,481,,1
PK0606,AIII2,Undirected,482,,1
PK0607,AIII1,Undirected,483,,1
PK0607,AIII2,Undirected,484,,1
PK0608,AIII2,Undirected,485,,1
PK0609,AIII2,Undirected,486,,1
PK0610,AIII2,Undirected,487,,1
S3,UK01,Undirected,488,,1
S3,UK02,Undirected,489,,1
S3,UK03,Undirected,490,,1
S3,UK04,Undirected,491,,1
S3,UK05,Undirected,492,,1
S3,UK06,Undirected,493,,1
S3,UK07,Undirected,494,,1
S3,UK08,Undirected,495,,1
S3,UK09,Undirected,496,,1
S3,UK10,Undirected,497,,1
S3,OPK1,Undirected,498,,1
S3,OPK2,Undirected,499,,1
S3,OPK3,Undirected,500,,1
S3,OPK4,Undirected,501,,1
S3,OPK5,Undirected,502,,1
S3,OPK6,Undirected,503,,1
S3,PK0701,Undirected,504,,1
S3,PK0702,Undirected,505,,1
S3,PK0703,Undirected,506,,1
S3,PK0704,Undirected,507,,1
S3,PK0705,Undirected,508,,1
S3,PK0706,Undirected,509,,1
S3,PK0707,Undirected,510,,1
S3,PK0708,Undirected,511,,1
S3,PK0709,Undirected,512,,1
S3,PK0710,Undirected,513,,1
S3,PK0711,Undirected,514,,1
S3,PK0712,Undirected,515,,1
S3,PK0713,Undirected,516,,1
S3,PK0714,Undirected,517,,1
S3,PK0715,Undirected,518,,1
S3,PK0716,Undirected,519,,1
S3,PK0717,Undirected,520,,1
S3,PK0718,Undirected,521,,1
S3,PK0719,Undirected,522,,1
S3,PK0720,Undirected,523,,1
S3,PK0721,Undirected,524,,1
S3,PK0722,Undirected,525,,1
S3,PK0723,Undirected,526,,1
S3,PK0724,Undirected,527,,1
S3,PK0725,Undirected,528,,1
S3,PK0726,Undirected,529,,1
S3,PK0727,Undirected,530,,1
S3,PK0728,Undirected,531,,1
D0701,PK0702,Undirected,532,,1
D0701,PK0706,Undirected,533,,1
D0702,PK0702,Undirected,534,,1
D0702,PK0706,Undirected,535,,1
D0703,PK0701,Undirected,536,,1
D0703,PK0703,Undirected,537,,1
D0703,PK0704,Undirected,538,,1
D0703,PK0709,Undirected,539,,1
D0703,PK0715,Undirected,540,,1
D0704,PK0721,Undirected,541,,1
D0704,PK0722,Undirected,542,,1
D0705,UK03,Undirected,543,,1
D0706,PK0705,Undirected,544,,1
D0706,PK0713,Undirected,545,,1
D0706,PK0717,Undirected,546,,1
D0707,PK0721,Undirected,547,,1
D0708,PK0725,Undirected,548,,1
D0708,PK0726,Undirected,549,,1
D0708,PK0728,Undirected,550,,1
D0709,PK0702,Undirected,551,,1
D0709,PK0705,Undirected,552,,1
D0709,PK0710,Undirected,553,,1
D0710,PK0706,Undirected,554,,1
D0711,PK0720,Undirected,555,,1
D0711,PK0726,Undirected,556,,1
D0711,PK0728,Undirected,557,,1
D0712,PK0716,Undirected,558,,1
D0712,PK0718,Undirected,559,,1
D0712,PK0719,Undirected,560,,1
D0712,PK0720,Undirected,561,,1
D0713,PK0720,Undirected,562,,1
D0713,PK0723,Undirected,563,,1
D0714,PK0720,Undirected,564,,1
D0714,PK0723,Undirected,565,,1
D0715,PK0704,Undirected,566,,1
D0715,PK0715,Undirected,567,,1
D0715,PK0724,Undirected,568,,1
D0716,PK0704,Undirected,569,,1
D0716,PK0715,Undirected,570,,1
D0716,PK0724,Undirected,571,,1
D0717,PK0703,Undirected,572,,1
D0717,PK0713,Undirected,573,,1
D0717,PK0714,Undirected,574,,1
D0718,PK0703,Undirected,575,,1
D0718,PK0713,Undirected,576,,1
D0718,PK0714,Undirected,577,,1
D0719,PK0706,Undirected,578,,1
D0720,PK0706,Undirected,579,,1
D0721,PK0703,Undirected,580,,1
D0721,PK0709,Undirected,581,,1
D0721,PK0711,Undirected,582,,1
D0721,PK0716,Undirected,583,,1
D0722,PK0706,Undirected,584,,1
D0722,PK0716,Undirected,585,,1
D0723,PK0706,Undirected,586,,1
D0723,PK0712,Undirected,587,,1
D0723,PK0723,Undirected,588,,1
D0723,PK0724,Undirected,589,,1
D0723,PK0727,Undirected,590,,1
D0724,PK0708,Undirected,591,,1
D0724,PK0712,Undirected,592,,1
D0724,PK0723,Undirected,593,,1
D0724,PK0724,Undirected,594,,1
D0724,PK0727,Undirected,595,,1
D0725,UK07,Undirected,596,,1
D0726,UK07,Undirected,597,,1
D0727,UK07,Undirected,598,,1
D0728,UK07,Undirected,599,,1
D0729,UK05,Undirected,600,,1
D0730,UK01,Undirected,601,,1
D0730,UK05,Undirected,602,,1
D0731,UK08,Undirected,603,,1
D0732,UK07,Undirected,604,,1
D0733,UK04,Undirected,605,,1
D0734,UK02,Undirected,606,,1
D0734,UK03,Undirected,607,,1
D0734,UK06,Undirected,608,,1
D0735,UK09,Undirected,609,,1
D0736,UK05,Undirected,610,,1
D0737,UK04,Undirected,611,,1
D0738,UK10,Undirected,612,,1
D0739,UK10,Undirected,613,,1
D0740,UK05,Undirected,614,,1
D0741,OPK2,Undirected,615,,1
D0741,PK0722,Undirected,616,,1
D0742,OPK5,Undirected,617,,1
D0742,PK0706,Undirected,618,,1
D0743,OPK2,Undirected,619,,1
D0743,OPK3,Undirected,620,,1
D0743,PK0722,Undirected,621,,1
D0744,OPK2,Undirected,622,,1
D0744,OPK3,Undirected,623,,1
D0744,PK0722,Undirected,624,,1
D0745,OPK2,Undirected,625,,1
D0746,OPK1,Undirected,626,,1
D0746,PK0727,Undirected,627,,1
D0747,OPK2,Undirected,628,,1
D0747,PK0722,Undirected,629,,1
D0748,OPK2,Undirected,630,,1
D0748,PK0722,Undirected,631,,1
D0749,OPK3,Undirected,632,,1
D0749,PK0725,Undirected,633,,1
D0749,PK0726,Undirected,634,,1
D0749,PK0728,Undirected,635,,1
D0750,OPK3,Undirected,636,,1
D0750,PK0726,Undirected,637,,1
D0750,PK0728,Undirected,638,,1
D0751,PK0714,Undirected,639,,1
D0752,PK0701,Undirected,640,,1
D0752,PK0709,Undirected,641,,1
D0752,PK0712,Undirected,642,,1
D0752,PK0715,Undirected,643,,1
D0752,PK0723,Undirected,644,,1
D0752,PK0724,Undirected,645,,1
D0753,OPK2,Undirected,646,,1
D0754,OPK2,Undirected,647,,1
D0754,PK0701,Undirected,648,,1
D0754,PK0707,Undirected,649,,1
D0754,PK0715,Undirected,650,,1
D0755,OPK2,Undirected,651,,1
D0755,PK0702,Undirected,652,,1
D0755,PK0709,Undirected,653,,1
D0756,OPK2,Undirected,654,,1
D0756,PK0701,Undirected,655,,1
D0756,PK0707,Undirected,656,,1
D0757,OPK3,Undirected,657,,1
D0757,OPK5,Undirected,658,,1
D0757,PK0702,Undirected,659,,1
D0757,PK0705,Undirected,660,,1
D0758,OPK2,Undirected,661,,1
D0758,OPK4,Undirected,662,,1
D0758,PK0701,Undirected,663,,1
D0758,PK0702,Undirected,664,,1
D0758,PK0708,Undirected,665,,1
D0758,PK0709,Undirected,666,,1
D0758,PK0712,Undirected,667,,1
D0759,OPK2,Undirected,668,,1
D0759,OPK4,Undirected,669,,1
D0759,PK0711,Undirected,670,,1
D0760,OPK5,Undirected,671,,1
D0760,PK0702,Undirected,672,,1
D0760,PK0706,Undirected,673,,1
D0761,OPK2,Undirected,674,,1
D0761,PK0703,Undirected,675,,1
D0761,PK0707,Undirected,676,,1
D0761,PK0711,Undirected,677,,1
D0762,OPK3,Undirected,678,,1
D0762,OPK4,Undirected,679,,1
D0762,PK0703,Undirected,680,,1
D0762,PK0711,Undirected,681,,1
D0762,PK0712,Undirected,682,,1
D0762,PK0713,Undirected,683,,1
D0763,PK0703,Undirected,684,,1
D0763,PK0704,Undirected,685,,1
D0764,OPK6,Undirected,686,,1
D0764,PK0721,Undirected,687,,1
D0764,PK0722,Undirected,688,,1
D0764,PK0723,Undirected,689,,1
D0765,PK0706,Undirected,690,,1
D0765,PK0716,Undirected,691,,1
D0766,PK0721,Undirected,692,,1
D0766,PK0722,Undirected,693,,1
D0766,PK0723,Undirected,694,,1
D0767,PK0721,Undirected,695,,1
D0767,PK0722,Undirected,696,,1
D0767,PK0723,Undirected,697,,1
D0768,OPK1,Undirected,698,,1
D0768,PK0701,Undirected,699,,1
PK0701,AIII1,Undirected,700,,1
PK0701,AIII2,Undirected,701,,1
PK0702,AIII1,Undirected,702,,1
PK0702,AIII2,Undirected,703,,1
PK0703,AIII1,Undirected,704,,1
PK0703,AIII2,Undirected,705,,1
PK0704,AIII1,Undirected,706,,1
PK0704,AIII2,Undirected,707,,1
PK0705,AIII1,Undirected,708,,1
PK0705,AIII2,Undirected,709,,1
PK0706,AIII1,Undirected,710,,1
PK0706,AIII2,Undirected,711,,1
PK0707,AIII1,Undirected,712,,1
PK0707,AIII2,Undirected,713,,1
PK0708,AIII1,Undirected,714,,1
PK0708,AIII2,Undirected,715,,1
PK0709,AIII1,Undirected,716,,1
PK0709,AIII2,Undirected,717,,1
PK0710,AIII1,Undirected,718,,1
PK0710,AIII2,Undirected,719,,1
PK0711,AIII1,Undirected,720,,1
PK0711,AIII2,Undirected,721,,1
PK0712,AIII1,Undirected,722,,1
PK0712,AIII2,Undirected,723,,1
PK0713,AVIII2,Undirected,724,,1
PK0714,AVIII2,Undirected,725,,1
PK0715,AIII1,Undirected,726,,1
PK0715,AIII2,Undirected,727,,1
PK0716,AV11,Undirected,728,,1
PK0716,AV12,Undirected,729,,1
PK0717,AI6,Undirected,730,,1
PK0718,AV11,Undirected,731,,1
PK0718,AV12,Undirected,732,,1
PK0719,AVI41,Undirected,733,,1
PK0720,AVI1,Undirected,734,,1
PK0720,AVI5,Undirected,735,,1
PK0721,AIII1,Undirected,736,,1
PK0721,AIII2,Undirected,737,,1
PK0722,AIII1,Undirected,738,,1
PK0722,AIII2,Undirected,739,,1
PK0723,AIII1,Undirected,740,,1
PK0723,AIII2,Undirected,741,,1
PK0724,AIII1,Undirected,742,,1
PK0724,AIII2,Undirected,743,,1
PK0725,AIII1,Undirected,744,,1
PK0725,AIII2,Undirected,745,,1
PK0726,AIII1,Undirected,746,,1
PK0726,AIII2,Undirected,747,,1
PK0727,AV11,Undirected,748,,1
PK0727,AV12,Undirected,749,,1
PK0728,AIII1,Undirected,750,,1
PK0728,AIII2,Undirected,751,,1
D0631,PK0605,Undirected,1144,,1
D0632,PK0605,Undirected,1145,,1
